,DATE,STATION_ID,CLASS,DEPTH_M,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY,LON,LAT
2783,07/17/95 00:00:00,H-A3,Surface,1.0,9.1,22.0,29.0,-73.72,40.92333333333333
2786,07/17/95 00:00:00,B1S,Surface,1.0,11.6,22.0,28.0,-73.66666666666667,40.94499999999999
2791,07/17/95 00:00:00,B2,Surface,1.0,12.4,22.0,28.0,-73.65333333333334,40.935
2796,07/17/95 00:00:00,B3M,Surface,1.0,11.4,21.0,28.0,-73.64500000000001,40.91999999999999
2799,07/17/95 00:00:00,B4,Surface,1.0,8.5,22.0,28.0,-73.635,40.90666666666667
2804,07/17/95 00:00:00,C1,Surface,1.0,11.2,22.5,29.0,-73.58,40.955
2809,07/17/95 00:00:00,C2,Surface,1.0,8.4,22.0,29.0,-73.5,40.985
2812,07/17/95 00:00:00,DI2,Surface,1.0,7.2,22.0,28.0,-73.76666666666667,40.89444444444445
2815,07/17/95 00:00:00,DI1,Surface,1.0,6.8,22.5,28.0,-73.77333333333333,40.8925
2820,07/24/95 00:00:00,A1,Surface,1.0,7.4,22.5,27.5,-73.82666666666667,40.80333333333333
2825,07/24/95 00:00:00,A2M,Surface,1.0,5.6,21.5,28.0,-73.78333333333333,40.80166666666666
2828,07/24/95 00:00:00,A3,Surface,1.0,5.8,21.0,28.0,-73.755,40.84166666666667
2833,07/24/95 00:00:00,A4,Surface,1.0,12.0,23.0,29.0,-73.735,40.87638888888889
2836,07/24/95 00:00:00,H-D,Surface,1.0,3.7,22.5,28.5,-73.66000000000001,40.845
2839,07/24/95 00:00:00,H-C,Surface,1.0,9.6,23.5,29.5,-73.67500000000001,40.865
2842,07/24/95 00:00:00,H-C1,Surface,1.0,10.0,24.0,30.0,-73.69500000000001,40.88666666666666
2845,07/24/95 00:00:00,A5,Surface,1.0,10.6,24.0,29.5,-73.68666666666667,40.89833333333333
2848,07/24/95 00:00:00,H-B,Surface,1.0,10.0,24.0,30.0,-73.715,40.91333333333333
2851,07/24/95 00:00:00,H-A3,Surface,1.0,9.2,24.0,29.5,-73.72,40.92333333333333
2854,07/24/95 00:00:00,B1S,Surface,1.0,8.4,23.5,29.5,-73.66666666666667,40.94499999999999
2859,07/24/95 00:00:00,B2,Surface,1.0,8.8,24.0,29.5,-73.65333333333334,40.935
2864,07/24/95 00:00:00,B3M,Surface,1.0,9.8,24.0,30.0,-73.64500000000001,40.91999999999999
2867,07/24/95 00:00:00,B4,Surface,1.0,8.6,24.0,30.0,-73.635,40.90666666666667
2872,07/24/95 00:00:00,C1,Surface,1.0,8.0,23.5,29.5,-73.58,40.955
2877,07/24/95 00:00:00,C2,Surface,1.0,6.0,21.5,29.0,-73.5,40.985
2880,07/24/95 00:00:00,DI2,Surface,1.0,8.0,24.5,29.5,-73.76666666666667,40.89444444444445
2883,07/24/95 00:00:00,DI1,Surface,1.0,7.0,24.5,29.5,-73.77333333333333,40.8925
2888,07/31/95 00:00:00,A1,Surface,1.0,3.5,22.0,28.0,-73.82666666666667,40.80333333333333
2893,07/31/95 00:00:00,A2M,Surface,1.0,3.7,20.0,25.5,-73.78333333333333,40.80166666666666
2896,07/31/95 00:00:00,A3,Surface,1.0,5.9,21.0,29.0,-73.755,40.84166666666667
2901,07/31/95 00:00:00,A4,Surface,1.0,6.0,21.0,29.5,-73.735,40.87638888888889
2904,07/31/95 00:00:00,H-D,Surface,1.0,6.0,24.5,30.0,-73.66000000000001,40.845
2907,07/31/95 00:00:00,H-C,Surface,1.0,6.6,24.0,30.0,-73.67500000000001,40.865
2910,07/31/95 00:00:00,H-C1,Surface,1.0,6.6,24.0,30.0,-73.69500000000001,40.88666666666666
2913,07/31/95 00:00:00,A5,Surface,1.0,6.7,23.0,30.0,-73.68666666666667,40.89833333333333
2915,07/31/95 00:00:00,H-B,Surface,1.0,6.1,22.0,29.0,-73.715,40.91333333333333
2918,07/31/95 00:00:00,H-A3,Surface,1.0,5.0,22.0,29.0,-73.72,40.92333333333333
2922,07/31/95 00:00:00,B1S,Surface,1.0,6.0,24.0,29.0,-73.66666666666667,40.94499999999999
2927,07/31/95 00:00:00,B2,Surface,1.0,6.0,22.5,29.0,-73.65333333333334,40.935
2932,07/31/95 00:00:00,B3M,Surface,1.0,6.7,21.0,29.0,-73.64500000000001,40.91999999999999
2935,07/31/95 00:00:00,B4,Surface,1.0,7.8,24.5,29.5,-73.635,40.90666666666667
2940,07/31/95 00:00:00,C1,Surface,1.0,6.4,24.0,30.0,-73.58,40.955
2945,07/31/95 00:00:00,C2,Surface,1.0,6.0,23.0,30.0,-73.5,40.985
2948,07/31/95 00:00:00,DI2,Surface,1.0,5.8,21.5,29.0,-73.76666666666667,40.89444444444445
2951,07/31/95 00:00:00,DI1,Surface,1.0,6.9,23.0,29.5,-73.77333333333333,40.8925
2956,08/06/95 00:00:00,A1,Surface,1.0,4.0,21.0,28.0,-73.82666666666667,40.80333333333333
2961,08/06/95 00:00:00,A2M,Surface,1.0,4.3,21.0,29.0,-73.78333333333333,40.80166666666666
2964,08/06/95 00:00:00,A3,Surface,1.0,5.2,21.0,29.5,-73.755,40.84166666666667
2968,08/06/95 00:00:00,A4,Surface,1.0,5.5,21.5,26.0,-73.735,40.87638888888889
2971,08/06/95 00:00:00,DI2,Surface,1.0,5.6,22.0,28.0,-73.76666666666667,40.89444444444445
2974,08/06/95 00:00:00,DI1,Surface,1.0,5.4,22.0,28.0,-73.77333333333333,40.8925
2979,08/14/95 00:00:00,A1,Surface,1.0,5.4,23.0,28.0,-73.82666666666667,40.80333333333333
2984,08/14/95 00:00:00,A2M,Surface,1.0,5.4,23.5,29.0,-73.78333333333333,40.80166666666666
2987,08/14/95 00:00:00,A3,Surface,1.0,6.2,23.0,28.0,-73.755,40.84166666666667
2992,08/14/95 00:00:00,A4,Surface,1.0,5.6,23.0,28.0,-73.735,40.87638888888889
2994,08/14/95 00:00:00,H-D,Surface,1.0,6.4,24.0,28.0,-73.66000000000001,40.845
2997,08/14/95 00:00:00,H-C,Surface,1.0,5.6,23.0,28.0,-73.67500000000001,40.865
3000,08/14/95 00:00:00,H-C1,Surface,1.0,6.8,23.0,28.0,-73.69500000000001,40.88666666666666
3003,08/14/95 00:00:00,A5,Surface,1.0,7.8,23.0,29.0,-73.68666666666667,40.89833333333333
3006,08/14/95 00:00:00,H-B,Surface,1.0,6.5,22.0,29.0,-73.715,40.91333333333333
3009,08/14/95 00:00:00,H-A3,Surface,1.0,6.0,22.5,29.0,-73.72,40.92333333333333
3012,08/14/95 00:00:00,B1S,Surface,1.0,6.2,22.5,29.0,-73.66666666666667,40.94499999999999
3017,08/14/95 00:00:00,B2,Surface,1.0,7.0,23.0,30.0,-73.65333333333334,40.935
3022,08/14/95 00:00:00,B3M,Surface,1.0,6.4,23.0,30.0,-73.64500000000001,40.91999999999999
3025,08/14/95 00:00:00,B4,Surface,1.0,8.4,23.0,30.0,-73.635,40.90666666666667
3030,08/14/95 00:00:00,C1,Surface,1.0,7.2,23.0,30.0,-73.58,40.955
3035,08/14/95 00:00:00,C2,Surface,1.0,6.7,23.0,30.0,-73.5,40.985
3038,08/14/95 00:00:00,DI2,Surface,1.0,6.5,22.5,32.0,-73.76666666666667,40.89444444444445
3041,08/14/95 00:00:00,DI1,Surface,1.0,6.6,23.0,30.0,-73.77333333333333,40.8925
3046,08/21/95 00:00:00,A1,Surface,1.0,5.7,25.0,30.0,-73.82666666666667,40.80333333333333
3051,08/21/95 00:00:00,A2M,Surface,1.0,5.5,25.0,30.0,-73.78333333333333,40.80166666666666
3054,08/21/95 00:00:00,A3,Surface,1.0,7.0,24.0,30.0,-73.755,40.84166666666667
3059,08/21/95 00:00:00,A4,Surface,1.0,7.1,25.0,30.5,-73.735,40.87638888888889
3062,08/21/95 00:00:00,H-D,Surface,1.0,5.8,25.0,30.0,-73.66000000000001,40.845
3065,08/21/95 00:00:00,H-C,Surface,1.0,6.0,25.0,30.0,-73.67500000000001,40.865
3068,08/21/95 00:00:00,H-C1,Surface,1.0,6.9,25.0,31.0,-73.69500000000001,40.88666666666666
3071,08/21/95 00:00:00,A5,Surface,1.0,6.5,25.0,31.0,-73.68666666666667,40.89833333333333
3074,08/21/95 00:00:00,H-B,Surface,1.0,6.7,25.0,31.0,-73.715,40.91333333333333
3077,08/21/95 00:00:00,H-A3,Surface,1.0,6.9,25.0,31.0,-73.72,40.92333333333333
3080,08/21/95 00:00:00,B1S,Surface,1.0,6.5,25.0,31.0,-73.66666666666667,40.94499999999999
3085,08/21/95 00:00:00,B2,Surface,1.0,6.7,25.0,31.0,-73.65333333333334,40.935
3090,08/21/95 00:00:00,B3M,Surface,1.0,6.9,25.0,30.5,-73.64500000000001,40.91999999999999
3093,08/21/95 00:00:00,B4,Surface,1.0,6.7,24.5,30.5,-73.635,40.90666666666667
3098,08/21/95 00:00:00,C1,Surface,1.0,6.4,24.0,30.5,-73.58,40.955
3103,08/21/95 00:00:00,C2,Surface,1.0,6.1,25.0,32.0,-73.5,40.985
3106,08/21/95 00:00:00,DI2,Surface,1.0,6.7,25.5,31.0,-73.76666666666667,40.89444444444445
3109,08/21/95 00:00:00,DI1,Surface,1.0,6.5,25.5,31.5,-73.77333333333333,40.8925
3114,08/28/95 00:00:00,A1,Surface,1.0,5.5,24.0,29.5,-73.82666666666667,40.80333333333333
3119,08/28/95 00:00:00,A2M,Surface,1.0,5.6,24.0,30.0,-73.78333333333333,40.80166666666666
3122,08/28/95 00:00:00,A3,Surface,1.0,5.4,24.0,30.0,-73.755,40.84166666666667
3125,08/28/95 00:00:00,DI2,Surface,1.0,5.0,24.0,30.0,-73.76666666666667,40.89444444444445
3128,08/28/95 00:00:00,DI1,Surface,1.0,5.4,24.0,30.0,-73.77333333333333,40.8925
3133,09/05/95 00:00:00,A1,Surface,1.0,5.8,23.0,30.0,-73.82666666666667,40.80333333333333
3138,09/05/95 00:00:00,A2M,Surface,1.0,5.2,23.0,30.0,-73.78333333333333,40.80166666666666
3141,09/05/95 00:00:00,A3,Surface,1.0,6.0,23.0,30.0,-73.755,40.84166666666667
3146,09/05/95 00:00:00,A4,Surface,1.0,5.1,22.5,30.0,-73.735,40.87638888888889
3149,09/05/95 00:00:00,H-D,Surface,1.0,5.6,22.5,30.5,-73.66000000000001,40.845
3152,09/05/95 00:00:00,H-C,Surface,1.0,5.4,23.0,30.0,-73.67500000000001,40.865
3155,09/05/95 00:00:00,H-C1,Surface,1.0,6.0,23.0,30.0,-73.69500000000001,40.88666666666666
3158,09/05/95 00:00:00,A5,Surface,1.0,6.6,23.0,30.0,-73.68666666666667,40.89833333333333
3161,09/05/95 00:00:00,H-B,Surface,1.0,5.2,23.0,30.0,-73.715,40.91333333333333
3164,09/05/95 00:00:00,H-A3,Surface,1.0,5.8,22.5,30.0,-73.72,40.92333333333333
3167,09/05/95 00:00:00,B1S,Surface,1.0,5.6,22.0,29.0,-73.66666666666667,40.94499999999999
3172,09/05/95 00:00:00,B2,Surface,1.0,6.2,22.5,30.0,-73.65333333333334,40.935
3177,09/05/95 00:00:00,B3M,Surface,1.0,6.4,23.0,30.0,-73.64500000000001,40.91999999999999
3180,09/05/95 00:00:00,B4,Surface,1.0,6.0,23.0,30.0,-73.635,40.90666666666667
3185,09/05/95 00:00:00,C1,Surface,1.0,6.6,23.0,30.0,-73.58,40.955
3190,09/05/95 00:00:00,C2,Surface,1.0,6.5,23.0,29.0,-73.5,40.985
3193,09/05/95 00:00:00,DI2,Surface,1.0,5.6,23.0,29.0,-73.76666666666667,40.89444444444445
3196,09/05/95 00:00:00,DI1,Surface,1.0,6.0,23.0,29.0,-73.77333333333333,40.8925
3201,09/11/95 00:00:00,A1,Surface,1.0,3.8,22.0,28.0,-73.82666666666667,40.80333333333333
3206,09/11/95 00:00:00,A2M,Surface,1.0,4.0,22.0,29.0,-73.78333333333333,40.80166666666666
3209,09/11/95 00:00:00,A3,Surface,1.0,4.5,21.5,29.0,-73.755,40.84166666666667
3214,09/11/95 00:00:00,A4,Surface,1.0,4.4,22.0,30.0,-73.735,40.87638888888889
3217,09/11/95 00:00:00,H-D,Surface,1.0,5.6,21.0,27.0,-73.66000000000001,40.845
3220,09/11/95 00:00:00,H-C,Surface,1.0,5.5,21.0,28.0,-73.67500000000001,40.865
3223,09/11/95 00:00:00,H-C1,Surface,1.0,5.2,21.0,29.0,-73.69500000000001,40.88666666666666
3226,09/11/95 00:00:00,A5,Surface,1.0,5.0,21.5,28.0,-73.68666666666667,40.89833333333333
3229,09/11/95 00:00:00,H-B,Surface,1.0,5.0,22.0,29.0,-73.715,40.91333333333333
3232,09/11/95 00:00:00,H-A3,Surface,1.0,5.4,21.0,29.0,-73.72,40.92333333333333
3235,09/11/95 00:00:00,B1S,Surface,1.0,5.4,21.5,28.0,-73.66666666666667,40.94499999999999
3240,09/11/95 00:00:00,B2,Surface,1.0,5.6,21.5,28.0,-73.65333333333334,40.935
3245,09/11/95 00:00:00,B3M,Surface,1.0,5.5,21.5,28.0,-73.64500000000001,40.91999999999999
3248,09/11/95 00:00:00,B4,Surface,1.0,5.8,21.0,28.0,-73.635,40.90666666666667
3253,09/11/95 00:00:00,C1,Surface,1.0,5.6,21.5,27.0,-73.58,40.955
3258,09/11/95 00:00:00,C2,Surface,1.0,5.5,22.0,28.0,-73.5,40.985
3261,09/11/95 00:00:00,DI2,Surface,1.0,4.5,21.5,28.0,-73.76666666666667,40.89444444444445
3264,09/11/95 00:00:00,DI1,Surface,1.0,5.4,21.0,27.0,-73.77333333333333,40.8925
3269,07/01/96 00:00:00,A1,Surface,1.0,3.9,19.0,23.0,-73.82666666666667,40.80333333333333
3274,07/01/96 00:00:00,A2M,Surface,1.0,3.8,18.0,24.0,-73.78333333333333,40.80166666666666
3277,07/01/96 00:00:00,A3,Surface,1.0,4.1,18.0,24.0,-73.755,40.84166666666667
3282,07/01/96 00:00:00,A4,Surface,1.0,4.4,17.0,24.0,-73.735,40.87638888888889
3285,07/01/96 00:00:00,H-D,Surface,1.0,3.6,19.0,24.0,-73.66000000000001,40.845
3288,07/01/96 00:00:00,H-C,Surface,1.0,4.5,19.0,24.0,-73.67500000000001,40.865
3291,07/01/96 00:00:00,H-C1,Surface,1.0,5.4,19.0,24.0,-73.69500000000001,40.88666666666666
3294,07/01/96 00:00:00,A5,Surface,1.0,5.4,19.0,24.0,-73.68666666666667,40.89833333333333
3297,07/01/96 00:00:00,H-B,Surface,1.0,4.6,18.0,24.0,-73.715,40.91333333333333
3300,07/01/96 00:00:00,H-A3,Surface,1.0,5.0,19.0,24.0,-73.72,40.92333333333333
3303,07/01/96 00:00:00,B1S,Surface,1.0,5.2,18.0,24.0,-73.66666666666667,40.94499999999999
3308,07/01/96 00:00:00,B2,Surface,1.0,5.5,19.0,24.0,-73.65333333333334,40.935
3313,07/01/96 00:00:00,B3M,Surface,1.0,5.4,18.0,24.0,-73.64500000000001,40.91999999999999
3316,07/01/96 00:00:00,B4,Surface,1.0,5.0,19.0,24.0,-73.635,40.90666666666667
3321,07/01/96 00:00:00,C1,Surface,1.0,6.2,19.0,25.0,-73.58,40.955
3326,07/01/96 00:00:00,C2,Surface,1.0,6.0,18.5,25.0,-73.5,40.985
3329,07/01/96 00:00:00,DI2,Surface,1.0,4.2,19.0,24.0,-73.76666666666667,40.89444444444445
3332,07/01/96 00:00:00,DI1,Surface,1.0,3.8,18.0,25.0,-73.77333333333333,40.8925
3337,07/08/96 00:00:00,A1,Surface,1.0,4.2,18.0,25.0,-73.82666666666667,40.80333333333333
3342,07/08/96 00:00:00,A2M,Surface,1.0,5.2,17.5,25.0,-73.78333333333333,40.80166666666666
3345,07/08/96 00:00:00,A3,Surface,1.0,7.9,19.0,26.0,-73.755,40.84166666666667
3350,07/08/96 00:00:00,A4,Surface,1.0,6.7,18.5,26.0,-73.735,40.87638888888889
3353,07/08/96 00:00:00,H-D,Surface,1.0,4.4,19.0,26.0,-73.66000000000001,40.845
3356,07/08/96 00:00:00,H-C,Surface,1.0,7.2,20.0,26.0,-73.67500000000001,40.865
3359,07/08/96 00:00:00,H-C1,Surface,1.0,7.5,19.0,26.0,-73.69500000000001,40.88666666666666
3362,07/08/96 00:00:00,A5,Surface,1.0,8.7,20.0,26.0,-73.68666666666667,40.89833333333333
3365,07/08/96 00:00:00,H-B,Surface,1.0,8.5,19.0,26.0,-73.715,40.91333333333333
3368,07/08/96 00:00:00,H-A3,Surface,1.0,8.2,19.0,26.0,-73.72,40.92333333333333
3371,07/08/96 00:00:00,B1S,Surface,1.0,8.4,19.0,26.0,-73.66666666666667,40.94499999999999
3376,07/08/96 00:00:00,B2,Surface,1.0,9.4,19.0,26.0,-73.65333333333334,40.935
3381,07/08/96 00:00:00,B3M,Surface,1.0,10.4,20.0,26.0,-73.64500000000001,40.91999999999999
3384,07/08/96 00:00:00,B4,Surface,1.0,8.0,19.0,26.0,-73.635,40.90666666666667
3389,07/08/96 00:00:00,C1,Surface,1.0,8.4,19.0,26.0,-73.58,40.955
3394,07/08/96 00:00:00,C2,Surface,1.0,6.8,18.0,26.0,-73.5,40.985
3397,07/08/96 00:00:00,DI2,Surface,1.0,9.7,20.0,26.0,-73.76666666666667,40.89444444444445
3400,07/08/96 00:00:00,DI1,Surface,1.0,7.6,20.0,26.0,-73.77333333333333,40.8925
3405,07/15/96 00:00:00,A1,Surface,1.0,3.8,21.0,30.0,-73.82666666666667,40.80333333333333
3410,07/15/96 00:00:00,A2M,Surface,1.0,4.0,20.0,29.0,-73.78333333333333,40.80166666666666
3413,07/15/96 00:00:00,A3,Surface,1.0,5.3,21.0,29.0,-73.755,40.84166666666667
3418,07/15/96 00:00:00,A4,Surface,1.0,5.3,21.0,30.0,-73.735,40.87638888888889
3421,07/15/96 00:00:00,H-D,Surface,1.0,5.0,21.0,30.0,-73.66000000000001,40.845
3424,07/15/96 00:00:00,H-C,Surface,1.0,6.6,21.0,31.0,-73.67500000000001,40.865
3427,07/15/96 00:00:00,H-C1,Surface,1.0,6.4,20.0,31.0,-73.69500000000001,40.88666666666666
3430,07/15/96 00:00:00,A5,Surface,1.0,6.2,20.0,30.0,-73.68666666666667,40.89833333333333
3433,07/15/96 00:00:00,H-B,Surface,1.0,6.6,20.0,30.0,-73.715,40.91333333333333
3436,07/15/96 00:00:00,H-A3,Surface,1.0,6.4,20.0,30.0,-73.72,40.92333333333333
3439,07/15/96 00:00:00,B1S,Surface,1.0,5.8,20.0,30.0,-73.66666666666667,40.94499999999999
3444,07/15/96 00:00:00,B2,Surface,1.0,6.2,20.0,29.0,-73.65333333333334,40.935
3449,07/15/96 00:00:00,B3M,Surface,1.0,6.1,20.0,29.0,-73.64500000000001,40.91999999999999
3452,07/15/96 00:00:00,B4,Surface,1.0,6.2,20.0,29.0,-73.635,40.90666666666667
3457,07/15/96 00:00:00,C1,Surface,1.0,6.4,21.0,30.0,-73.58,40.955
3462,07/15/96 00:00:00,C2,Surface,1.0,6.2,21.0,30.0,-73.5,40.985
3465,07/15/96 00:00:00,DI2,Surface,1.0,5.0,20.0,30.0,-73.76666666666667,40.89444444444445
3468,07/15/96 00:00:00,DI1,Surface,1.0,5.0,21.0,30.0,-73.77333333333333,40.8925
3473,07/22/96 00:00:00,A1,Surface,1.0,4.4,21.0,29.0,-73.82666666666667,40.80333333333333
3478,07/22/96 00:00:00,A2M,Surface,1.0,4.0,23.0,29.0,-73.78333333333333,40.80166666666666
3481,07/22/96 00:00:00,A3,Surface,1.0,5.1,20.0,30.0,-73.755,40.84166666666667
3486,07/22/96 00:00:00,A4,Surface,1.0,6.3,19.5,30.0,-73.735,40.87638888888889
3489,07/22/96 00:00:00,H-D,Surface,1.0,7.0,22.0,31.0,-73.66000000000001,40.845
3492,07/22/96 00:00:00,H-C,Surface,1.0,7.8,20.0,31.0,-73.67500000000001,40.865
3495,07/22/96 00:00:00,H-C1,Surface,1.0,7.5,20.0,30.0,-73.69500000000001,40.88666666666666
3498,07/22/96 00:00:00,A5,Surface,1.0,7.8,19.0,31.0,-73.68666666666667,40.89833333333333
3501,07/22/96 00:00:00,H-B,Surface,1.0,6.1,19.0,31.0,-73.715,40.91333333333333
3504,07/22/96 00:00:00,H-A3,Surface,1.0,5.3,18.0,32.0,-73.72,40.92333333333333
3507,07/22/96 00:00:00,B1S,Surface,1.0,6.0,19.0,31.0,-73.66666666666667,40.94499999999999
3512,07/22/96 00:00:00,B2,Surface,1.0,6.0,18.5,31.0,-73.65333333333334,40.935
3517,07/22/96 00:00:00,B3M,Surface,1.0,6.8,18.5,31.0,-73.64500000000001,40.91999999999999
3520,07/22/96 00:00:00,B4,Surface,1.0,7.5,19.0,30.5,-73.635,40.90666666666667
3525,07/22/96 00:00:00,C1,Surface,1.0,7.5,19.0,31.0,-73.58,40.955
3530,07/22/96 00:00:00,C2,Surface,1.0,6.4,19.0,32.0,-73.5,40.985
3533,07/22/96 00:00:00,DI2,Surface,1.0,5.2,19.0,31.0,-73.76666666666667,40.89444444444445
3536,07/22/96 00:00:00,DI1,Surface,1.0,5.8,19.0,31.0,-73.77333333333333,40.8925
3541,07/29/96 00:00:00,A1,Surface,1.0,4.5,20.0,30.0,-73.82666666666667,40.80333333333333
3546,07/29/96 00:00:00,A2M,Surface,1.0,4.8,19.0,28.0,-73.78333333333333,40.80166666666666
3549,07/29/96 00:00:00,A3,Surface,1.0,8.1,20.0,28.0,-73.755,40.84166666666667
3554,07/29/96 00:00:00,A4,Surface,1.0,6.8,20.0,28.0,-73.735,40.87638888888889
3557,07/29/96 00:00:00,H-D,Surface,1.0,7.6,20.0,28.0,-73.66000000000001,40.845
3560,07/29/96 00:00:00,H-C,Surface,1.0,8.2,21.0,29.0,-73.67500000000001,40.865
3563,07/29/96 00:00:00,H-C1,Surface,1.0,9.2,20.0,29.0,-73.69500000000001,40.88666666666666
3566,07/29/96 00:00:00,A5,Surface,1.0,10.3,21.0,28.0,-73.68666666666667,40.89833333333333
3569,07/29/96 00:00:00,H-B,Surface,1.0,9.5,21.0,28.0,-73.715,40.91333333333333
3573,07/29/96 00:00:00,H-A3,Surface,1.0,8.7,21.0,29.0,-73.72,40.92333333333333
3575,07/29/96 00:00:00,DI2,Surface,1.0,6.8,20.0,28.0,-73.76666666666667,40.89444444444445
3578,07/29/96 00:00:00,DI1,Surface,1.0,6.4,20.0,28.0,-73.77333333333333,40.8925
3581,07/29/96 00:00:00,B1S,Surface,1.0,8.3,21.0,29.0,-73.66666666666667,40.94499999999999
3586,07/29/96 00:00:00,B2,Surface,1.0,8.2,21.0,29.0,-73.65333333333334,40.935
3593,07/29/96 00:00:00,B3M,Surface,1.0,7.5,20.0,29.0,-73.64500000000001,40.91999999999999
3594,07/29/96 00:00:00,B4,Surface,1.0,7.4,21.0,29.0,-73.635,40.90666666666667
3599,08/05/96 00:00:00,A1,Surface,1.0,4.0,21.0,27.0,-73.82666666666667,40.80333333333333
3604,08/05/96 00:00:00,A2M,Surface,1.0,4.0,21.0,27.0,-73.78333333333333,40.80166666666666
3607,08/05/96 00:00:00,A3,Surface,1.0,4.8,21.0,28.0,-73.755,40.84166666666667
3612,08/05/96 00:00:00,A4,Surface,1.0,5.3,21.0,28.0,-73.735,40.87638888888889
3615,08/05/96 00:00:00,H-D,Surface,1.0,5.6,22.0,28.0,-73.66000000000001,40.845
3618,08/05/96 00:00:00,H-C,Surface,1.0,8.7,22.0,28.0,-73.67500000000001,40.865
3621,08/05/96 00:00:00,H-C1,Surface,1.0,6.5,22.0,28.0,-73.69500000000001,40.88666666666666
3624,08/05/96 00:00:00,A5,Surface,1.0,6.0,21.5,28.0,-73.68666666666667,40.89833333333333
3627,08/05/96 00:00:00,H-B,Surface,1.0,7.8,22.0,29.0,-73.715,40.91333333333333
3630,08/05/96 00:00:00,H-A3,Surface,1.0,6.1,22.0,29.0,-73.72,40.92333333333333
3633,08/05/96 00:00:00,DI2,Surface,1.0,6.4,22.0,29.0,-73.76666666666667,40.89444444444445
3636,08/05/96 00:00:00,DI1,Surface,1.0,4.9,22.0,28.0,-73.77333333333333,40.8925
3641,08/12/96 00:00:00,A1,Surface,1.0,4.0,22.0,28.0,-73.82666666666667,40.80333333333333
3646,08/12/96 00:00:00,A2M,Surface,1.0,5.0,22.0,29.0,-73.78333333333333,40.80166666666666
3649,08/12/96 00:00:00,A3,Surface,1.0,7.2,22.0,29.0,-73.755,40.84166666666667
3654,08/12/96 00:00:00,A4,Surface,1.0,7.4,22.0,29.0,-73.735,40.87638888888889
3657,08/12/96 00:00:00,H-D,Surface,1.0,5.0,22.0,30.0,-73.66000000000001,40.845
3660,08/12/96 00:00:00,H-C,Surface,1.0,6.1,22.0,29.0,-73.67500000000001,40.865
3663,08/12/96 00:00:00,H-C1,Surface,1.0,9.3,22.0,29.0,-73.69500000000001,40.88666666666666
3666,08/12/96 00:00:00,A5,Surface,1.0,10.4,22.0,29.0,-73.68666666666667,40.89833333333333
3669,08/12/96 00:00:00,H-B,Surface,1.0,7.7,22.0,29.0,-73.715,40.91333333333333
3672,08/12/96 00:00:00,H-A3,Surface,1.0,8.0,21.0,29.0,-73.72,40.92333333333333
3675,08/12/96 00:00:00,B1S,Surface,1.0,5.6,21.0,29.0,-73.66666666666667,40.94499999999999
3680,08/12/96 00:00:00,B2,Surface,1.0,9.7,22.0,29.0,-73.65333333333334,40.935
3685,08/12/96 00:00:00,B3M,Surface,1.0,9.6,22.0,29.0,-73.64500000000001,40.91999999999999
3688,08/12/96 00:00:00,B4,Surface,1.0,9.1,22.0,29.0,-73.635,40.90666666666667
3693,08/12/96 00:00:00,C1,Surface,1.0,9.0,22.0,29.0,-73.58,40.955
3698,08/12/96 00:00:00,C2,Surface,1.0,8.2,20.0,29.0,-73.5,40.985
3701,08/12/96 00:00:00,DI2,Surface,1.0,7.2,22.0,29.0,-73.76666666666667,40.89444444444445
3704,08/12/96 00:00:00,DI1,Surface,1.0,8.3,22.0,29.0,-73.77333333333333,40.8925
3709,08/19/96 00:00:00,A1,Surface,1.0,5.2,24.0,,-73.82666666666667,40.80333333333333
3714,08/19/96 00:00:00,A2M,Surface,1.0,5.7,24.0,,-73.78333333333333,40.80166666666666
3717,08/19/96 00:00:00,A3,Surface,1.0,8.9,24.0,,-73.755,40.84166666666667
3722,08/19/96 00:00:00,A4,Surface,1.0,9.0,24.0,,-73.735,40.87638888888889
3725,08/19/96 00:00:00,H-D,Surface,1.0,6.9,23.0,,-73.66000000000001,40.845
3728,08/19/96 00:00:00,H-C,Surface,1.0,9.7,24.0,,-73.67500000000001,40.865
3731,08/19/96 00:00:00,H-C1,Surface,1.0,10.9,23.0,,-73.69500000000001,40.88666666666666
3734,08/19/96 00:00:00,A5,Surface,1.0,4.8,24.0,,-73.68666666666667,40.89833333333333
3737,08/19/96 00:00:00,H-B,Surface,1.0,8.3,23.0,,-73.715,40.91333333333333
3740,08/19/96 00:00:00,H-A3,Surface,1.0,8.1,23.0,,-73.72,40.92333333333333
3743,08/19/96 00:00:00,B1S,Surface,1.0,9.2,22.0,,-73.66666666666667,40.94499999999999
3748,08/19/96 00:00:00,B2,Surface,1.0,9.8,23.0,,-73.65333333333334,40.935
3753,08/19/96 00:00:00,B3M,Surface,1.0,9.4,24.0,,-73.64500000000001,40.91999999999999
3756,08/19/96 00:00:00,B4,Surface,1.0,8.5,23.0,,-73.635,40.90666666666667
3761,08/19/96 00:00:00,C1,Surface,1.0,8.4,24.0,,-73.58,40.955
3766,08/19/96 00:00:00,C2,Surface,1.0,7.0,23.0,,-73.5,40.985
3769,08/19/96 00:00:00,DI2,Surface,1.0,7.3,23.0,,-73.76666666666667,40.89444444444445
3772,08/19/96 00:00:00,DI1,Surface,1.0,8.0,24.0,,-73.77333333333333,40.8925
